repository,LCOM5,WMC,CBO,NOI,RFC,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NM,NLM,NOS,TLOC,TLLOC,TNM,TNLM,TNOS
cfpb_consumerfinance.gov,2.262021589793916,3.5829244357212953,0.1118743866535819,0.0873405299313052,2.7909715407262023,2.227674190382728,0.0598626104023552,0.0598626104023552,0.0598626104023552,0.0598626104023552,0.0598626104023552,40.63788027477919,35.097154072620214,2.842001962708538,2.703631010794897,11.525024533856724,41.10107948969578,35.556427870461235,2.872423945044161,2.7134445534838076,11.538763493621197
facebookresearch_ParlAI,2.062176165803109,6.859671848013817,0.4162348877374784,0.3609671848013817,3.1748704663212437,10.961139896373057,0.3687392055267703,0.3803972366148532,0.3026770293609672,0.3803972366148532,0.3026770293609672,54.18091537132988,44.931347150259064,5.026338514680484,2.813903281519862,19.93782383419689,54.19516407599309,44.939982728842836,5.065198618307426,2.8173575129533677,19.944732297063904
apollos_opencv-practice,2.0,5.912832929782082,0.0193704600484261,0.1283292978208232,2.8934624697336564,16.929782082324454,0.0193704600484261,0.0193704600484261,0.0193704600484261,0.0193704600484261,0.0193704600484261,51.389830508474574,26.661016949152543,2.8813559322033897,2.765133171912833,19.966101694915253,51.389830508474574,26.661016949152543,2.8813559322033897,2.765133171912833,19.966101694915253
Mikubill_sd-webui-controlnet,2.6939571150097468,8.96393762183236,0.3372319688109161,0.4249512670565302,3.898635477582846,18.189083820662766,0.1033138401559454,0.1072124756335282,0.0994152046783625,0.1072124756335282,0.0994152046783625,72.93859649122807,56.919103313840154,3.853801169590643,3.473684210526316,28.167641325536064,72.98148148148148,56.960038986354775,3.971734892787525,3.478557504873294,28.183235867446395
dragonpilot-community_dp-devel,2.8891402714932126,12.352941176470589,0.2036199095022624,0.3212669683257919,4.221719457013575,7.452488687782806,0.0701357466063348,0.0746606334841629,0.0678733031674208,0.0746606334841629,0.0678733031674208,67.99321266968326,52.5,4.052036199095022,3.9004524886877823,36.748868778280546,68.02262443438914,52.52941176470589,4.104072398190045,3.9004524886877823,36.748868778280546
pyodide_pyodide,2.4239130434782608,4.130434782608695,0.3152173913043478,0.0760869565217391,2.9239130434782608,13.228260869565217,0.1847826086956521,0.1847826086956521,0.1630434782608695,0.1847826086956521,0.1630434782608695,35.5,27.902173913043477,4.3478260869565215,2.847826086956522,8.293478260869565,35.67391304347826,28.07608695652174,4.456521739130435,2.847826086956522,8.293478260869565
jorisschellekens_borb,3.0460921843687374,9.70941883767535,0.0761523046092184,0.034068136272545,3.961923847695391,21.63326653306613,0.0400801603206412,0.0400801603206412,0.034068136272545,0.0400801603206412,0.034068136272545,132.6813627254509,107.3006012024048,4.052104208416834,3.9278557114228456,34.97394789579158,132.97394789579158,107.5190380761523,4.12625250501002,3.9478957915831665,35.100200400801604
spotDL_spotify-downloader,1.396551724137931,7.206896551724138,0.3620689655172414,0.0344827586206896,1.827586206896552,21.017241379310345,0.0344827586206896,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.1034482758620689,67.84482758620689,50.94827586206897,1.793103448275862,1.793103448275862,17.82758620689655,67.84482758620689,50.94827586206897,1.793103448275862,1.793103448275862,17.82758620689655
Rapptz_discord.py,2.9788838612368025,7.46606334841629,0.4404223227752639,0.1372549019607843,3.5052790346907994,24.184012066365007,0.3710407239819004,0.3800904977375565,0.3016591251885369,0.3800904977375565,0.3016591251885369,60.717948717948715,45.45399698340875,4.171945701357466,3.368024132730015,14.951734539969834,60.7209653092006,45.457013574660635,4.254901960784314,3.3936651583710407,14.971342383107087
networkx_networkx,5.6735751295336785,10.791018998272884,0.3022452504317789,0.2245250431778929,6.867012089810017,20.248704663212436,0.2659758203799655,0.2677029360967184,0.2020725388601036,0.2677029360967184,0.2020725388601036,104.74611398963732,85.62003454231433,8.373056994818652,6.642487046632124,46.22452504317789,104.93264248704664,85.73747841105354,8.57685664939551,6.689119170984456,46.30224525043178
