repository,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI
numpy_numpy,1.755080069977123,0.0,0.0,0.0,0.314224195935944,0.0,1.9249091643116676,0.9130668819808908,0.0,1.964876867178038,9.398062171982236,12.000403714170368,6.77459292154488,1.5201184228233078,9.654016955995155,12.286233346790471,6.910240882788319,14.846567848199015,0.9479620926596326,170.62529759629223,0.0109471384837059,8.218386419988557,4.958325386229258,9.479183199793797,32.84141545111986,19.982683584900347
babysor_MockingBird,2.63220675944334,0.0,0.0,0.0,0.3956262425447316,0.0,2.886679920477137,1.5447316103379722,0.0,2.886679920477137,13.570576540755468,17.709741550695824,9.590457256461232,3.3479125248508947,13.570576540755468,17.709741550695824,9.590457256461232,25.106024442934437,1.4114367287060154,280.3545705517888,0.0172253837255834,11.832618025751072,7.628040057224607,15.575253919543862,51.67615117675047,52.13624830755295
explosion_spaCy,3.5183044315992293,0.0,0.0,0.0,0.6088631984585742,0.0,4.998073217726397,3.753371868978805,0.0,5.065510597302505,13.354527938342969,18.639691714836225,8.797687861271676,2.955684007707129,13.610789980732177,18.961464354527937,8.959537572254336,15.786619229392214,0.9074908361100904,95.3144925987654,0.0106129782613501,8.751097178683386,5.783385579937304,5.295249588820316,31.83893478405017,36.27013987966846
AUTOMATIC1111_stable-diffusion-webui,3.130028063610851,0.0,0.0,0.0,0.3666978484565014,0.0,1.069223573433115,0.4387277829747427,0.0,1.0907390084190831,12.253507951356408,15.073900841908326,9.510757717492984,3.0636108512628626,12.674462114125353,15.59401309635173,9.842843779232927,26.80671152753825,1.2661992833432605,347.16318512121023,0.0186362851729428,12.019346230820547,7.4949966644429615,19.286843617845,55.90885551882846,34.51548646674029
HumanSignal_label-studio,2.342624854819977,0.0,0.0,0.0,0.2799070847851335,0.0,0.9547038327526132,0.3879210220673635,0.0,0.9581881533101044,8.336817653890824,9.94541231126597,5.24274099883856,2.1939605110336817,8.376306620209059,9.988385598141695,5.2682926829268295,10.920424601948374,0.6339468628371436,57.22402330551876,0.0067101591555773,5.547040971168437,4.097875569044006,3.1791124058621527,20.13047746673225,43.53511566673047
python_mypy,2.724327195467422,0.0,0.0,0.0,0.6359773371104815,0.0,1.7202549575070822,0.6703257790368272,0.0,1.739199716713881,9.2268059490085,11.213881019830028,5.512570821529745,2.239553824362606,9.312854107648723,11.310021246458923,5.554886685552408,15.70052747942366,0.851260587707611,123.16873104395876,0.0096384644877314,7.055235350624399,5.0862952289465255,6.84270728021986,28.915393463194224,25.116836222428265
geekan_MetaGPT,1.8405172413793105,0.0,0.0,0.0,0.3836206896551724,0.0,1.5280172413793105,1.0107758620689655,0.0,1.5474137931034482,6.993534482758621,8.849137931034482,4.495689655172414,2.556034482758621,7.127155172413793,9.004310344827585,4.603448275862069,6.600298644641865,0.4816611500096827,47.33285183348785,0.0045599391164325,4.007824726134586,2.8857589984350547,2.6296028796382243,13.679817349297734,90.09802608650548
pytorch_vision,2.1235955056179776,0.0,0.0,0.0,0.5522141440846001,0.0,1.3000660938532715,0.592531394580304,0.0,1.3113020489094511,10.995042961004629,13.472901520158626,6.241242564441507,2.7951090548578983,11.17151354923992,13.667547918043622,6.342696629213483,16.866163734769433,0.975885020735786,133.48057947187172,0.0108468475689347,8.092424242424242,5.5590909090909095,7.41558774843732,32.54054270680332,38.70860327406152
nvbn_thefuck,1.325925925925926,0.0,0.0,0.0,0.1925925925925926,0.0,0.4666666666666667,0.4185185185185185,0.0,0.4666666666666667,5.644444444444445,6.207407407407407,2.774074074074074,2.162962962962963,5.696296296296296,6.274074074074074,2.7962962962962963,4.342142820919018,0.4357661981433047,11.39912013821748,0.002619808847396,3.0133426966292136,2.629915730337079,0.6332844521231843,7.8594265421884035,64.6562567942488
aws_aws-cli,1.3972578660573036,0.0,0.0,0.0,0.4410265424503428,0.0,0.934434874318861,0.3505009667779926,0.0,0.9383019862893304,9.6596941465987,11.05097556688346,5.022499560555458,1.6030936895763754,9.680435928985762,11.07259623835472,5.031815784847952,4.324201102912916,0.3286233463999902,13.0279234198995,0.002688400949405,2.7498666666666667,2.161955555555556,0.7237735233277427,8.06520284821467,50.001150814799054
